installation_s3ic_id,description,date,georisques_id,ocr_status,size
0065.00303,Arrêté préfectoral concernant OURRY   daté du 07/02/2014,2014-02-07,P/9/8acb340148c5696d0148c5ed32ac0009,SUCCESS,419889.0
0065.00303,Arrêté préfectoral d'agrément pour les établissements (autre que art. 43-2 du dé,2009-05-13,P/0/e1309b008008450eb3615d945de8ea30,SUCCESS,305646.0
0065.00322,Arrêté préfectoral concernant CARREFOUR FRANCE daté du 14/08/2014,2014-08-14,P/e/8acb3401484066990148406f0b96000e,SUCCESS,320398.0
0065.00322,Exploitation d'une station de stockage et de distribution de carburants,2006-02-24,P/9/2ee73783dd8c4ea3af9bb7e71c6eae79,SUCCESS,360386.0
0065.00322,APC progr,2006-02-24,P/f/60fa6a428ca0422ab76d5a05dfc6df8f,SUCCESS,360386.0
0065.00342,Poursuite et extension de l'exploitation,2006-06-14,P/9/68db212b9892416a9474ca05a397fd99,SUCCESS,2635208.0
0065.00342,Prescriptions complémentaires modifiant les conditions d'exploitation,2004-07-02,P/e/76faaf47abee4f42b13e5a2546afbece,SUCCESS,306786.0
0065.00345,APAUTO fabrication peintures en phase aqueuse et enduits en pates et en poudre,2009-10-09,P/4/b79a93d618d2498d87b602da1e143ef4,SUCCESS,1945235.0
0065.00348,APC,2009-12-15,P/3/94facb00d81b4a50aab16be924d21b33,SUCCESS,1151503.0
0065.00348,AP complémentaire (art 18 déc. 77),2008-02-20,P/2/3ee55b26977345dda6c2c62eebec0582,SUCCESS,256203.0
0065.00354,Nouveau document,2019-01-28,P/e/8acb34fd68a3dd4a0168a3ed3df1000e,SUCCESS,512299.0
0065.00354,Arrêté préfectoral concernant RN 3 AUTOS (ex LEFEVRE AUTOS) daté du 09/11/2015,2015-11-09,P/8/8acb3401513ecf7d01513ee86bc60018,SUCCESS,702798.0
0065.00354,Arrêté préfectoral concernant RN 3 AUTOS (ex LEFEVRE AUTOS) daté du 23/01/2013,2013-01-23,P/8/8acb34013c86b7af013c870094c70028,SUCCESS,687812.0
0065.00354,"Agrément activités de stockage, dépollution et démontage de véhicules hors d'usage",2006-11-07,P/1/f5f0c5931b254581bdbce524fef85441,SUCCESS,494969.0
0065.00377,APC conditions de stockage des pellets sur les silos,2008-11-12,P/8/1a8e555c5bfe4e7e9a505b734b8b8238,SUCCESS,458432.0
0065.00382,APC,2009-12-15,P/0/0a16b272137b4811a7235f4334b26b40,SUCCESS,1164833.0
0065.00384,AP complémentaire (Art. R. 512-31),2011-02-14,P/5/cc31f7077115449b88811507832ceaa5,SUCCESS,729229.0
0065.00415,APC - AP Complémentaire,2007-01-23,P/8/b50007feed744e0ca978d22e43ad52b8,SUCCESS,296593.0
0065.00460,Nouveau document,2018-05-31,P/0/8acb340163df52c00163df9c26990010,SUCCESS,635081.0
0065.00460,Arrêté préfectoral concernant DAC (EX SOPAR) daté du 09/11/2015,2015-11-09,P/c/8acb3401513dcf7301513dec031a001c,SUCCESS,696877.0
0065.00460,Arrêté préfectoral concernant DAC (EX SOPAR) daté du 15/10/2013,2013-10-15,P/5/8acb340141c5b0940141c5b54d1e0005,SUCCESS,645101.0
0065.00460,Arrêté préfectoral concernant DAC (EX SOPAR) daté du 02/05/2012,2012-05-02,P/f/9b16f58f55ad4a25a4d25010498d04bf,SUCCESS,735402.0
0065.00460,"Stockage, dépollution et démontage de véhicules hors d'usage",2006-06-30,P/4/0082bae447ad4712bc11a011f30f3c84,SUCCESS,464264.0
0065.00462,Nouveau document,2019-03-13,P/8/8acb34fd699006a501699050e2030088,SUCCESS,553099.0
0065.00462,Arrêté préfectoral concernant SNBL daté du 09/11/2015,2015-11-09,P/d/8acb3401513dcf7301513e287078006d,SUCCESS,726820.0
0065.00462,Arrêté préfectoral concernant SNBL daté du 12/04/2013,2013-04-12,P/4/8acb34013e4067b0013e419aadd20044,SUCCESS,637445.0
0065.00462,APAGRE - AP agrément VHU,2006-11-27,P/d/810396aac17f437e8e294670f5a21c7d,SUCCESS,437927.0
0065.00490,Arrêté préfectoral concernant GENERIS (SARM ONYX) (ex SOULIER) Chelles daté du 27/06/2014,2014-06-27,P/8/8acb3401470143360147015cf8c50028,SUCCESS,406604.0
0065.00490,APC Nlles conditions d'exploitation,2009-11-10,P/4/bb8a7c7628b347ce8ea231f6ca1ffab4,SUCCESS,2083262.0
0065.00490,"APC prescriptions déchets, entreposage, bruit, cessation d'activité",2008-01-04,P/2/221f246aefbb4d6697aa2d9dbdc095f2,SUCCESS,812035.0
0065.00498,Nouveau document,2020-04-20,P/8/8acb34fd71e8e7340171e940d30d0058,SUCCESS,165884.0
0065.00498,Arrêté préfectoral concernant REVIVAL (ex SMB ex SORAP) daté du 21/10/2015,2015-10-21,P/d/8acb3401508f6fcc01508f889a41000d,SUCCESS,878959.0
0065.00498,Arrêté préfectoral concernant REVIVAL (ex SMB ex SORAP) daté du 13/11/2012,2012-11-13,P/8/fbf1a41ca49d4607a8c8d4c1a405d978,SUCCESS,676924.0
0065.00498,"Stockage, dépollution et démontage de véhicules hors d'usage : nouvelle raison sociale de la SMB",2006-08-04,P/4/5cbf450cd8df4e4ca39a31a534ee7724,SUCCESS,483163.0
0065.00510,APC - AP Complémentaire,2007-01-23,P/2/cb909fc917c743699d173e1f3100ba32,SUCCESS,304398.0
0065.00547,Arrêté préfectoral concernant BRUNET daté du 25/07/2012,2012-07-25,P/6/2e12049a1c154dd3b0cb2fc1f018d4b6,SUCCESS,3106325.0
0065.00568,Exploitation d'une station de stockage et de distribution de carburants,2006-02-24,P/a/6c3fcb9a09244f37a0f677103a5697ca,SUCCESS,281070.0
0065.00568,APC Prog,2006-02-24,P/a/ac56a68bde90436fa87af8363c72583a,SUCCESS,281067.0
0065.00595,AP complémentaire (Art. R. 512-31),2011-11-18,P/0/d205f83874534997b383a199a36268c0,SUCCESS,5064967.0
0065.00596,Arrêté préfectoral concernant COMBES RE SARL  (Ex  AEXXDIS)  daté du 12/12/2012,2012-12-12,P/d/cf2f231c20a44821b977dcccb3eb4a3d,SUCCESS,159292.0
0065.00599,APAUTO - AP d'autorisation,2011-01-24,P/d/d2938cda2dcd4fcb8e887d8adb9687ed,SUCCESS,13293133.0
0065.00599,APSURS - AP de sursis à statuer,2010-09-24,P/f/bf0cde9c2f374ca1bd6a2a32405a65af,SUCCESS,90866.0
0065.00599,APENDU - AP de mise à l'enquête publique,2010-03-10,P/9/745522eb9074490a98019ef20e93a3e9,SUCCESS,133510.0
0065.00640,Arrêté préfectoral concernant GALVACHAUD SAS  daté du 25/03/2015,2015-03-25,P/5/8acb34014c6aad7f014c6ae93cdf0045,SUCCESS,3036675.0
0065.00640,AP complémentaire (Art. R. 512-31),2009-12-17,P/c/53af7ac271c146a0b72f996a1ca6ab6c,SUCCESS,1764586.0
0065.00640,mise en place réseau piézométrique de surveillance des eaux souterraines et modalités,2006-11-24,P/9/7fa350a02b804c4f9fb245ee145b9659,SUCCESS,327862.0
0065.00641,Nouveau document,2018-01-05,P/f/8acb340160e05b550160e06b5aa5000f,SUCCESS,3518873.0
0065.00641,Arrêté préfectoral concernant GEREP Compans daté du 17/06/2014,2014-06-17,P/0/8acb340146dc87a70146dd08d1df0010,SUCCESS,508367.0
0065.00641,APC,2009-12-22,P/1/4a8924144eef478aae277766c04fc731,SUCCESS,3559150.0
0065.00644,Nouveau document,2018-05-23,P/9/8acb3401638d610001638d6d8cd00009,SUCCESS,344477.0
0065.00654,Réduire les émissions de composés organiques volatils dans l'air,2006-08-04,P/7/1af28e23f72745719a4bde2eb10acc77,SUCCESS,284280.0
0065.00665,APcomplémentaire,2012-06-13,P/4/8acb340140111d6b01401124f3920004,SUCCESS,1809197.0
0065.00674,Nouveau document,2019-02-05,P/f/8acb34fd68dbe28e0168dbe6ef57000f,SUCCESS,547244.0
0065.00674,Arrêté préfectoral concernant EURO-CASSE daté du 09/11/2015,2015-11-09,P/d/8acb3401513ecf7d01513eefac32002d,SUCCESS,717402.0
0065.00674,Arrêté préfectoral concernant EURO CASSE daté du 17/12/2012,2012-12-17,P/7/4785a0409d804e0d8426eb7ad9171767,SUCCESS,2436268.0
0065.00674,"agrément activités stockage, dépollution et démontage VHU",2006-11-13,P/c/ffa817b9b53b427c87137af467fbbfac,SUCCESS,488035.0
0065.00690,APC,2014-06-30,P/9/8acb34014787578701478769295d0009,SUCCESS,304414.0
0065.00690,Arrêté préfectoral concernant AMCOR FLEXIBLES SPS (ex LABORATOIRES SPS daté du 14/11/2012,2012-11-14,P/9/6414f203cd5348b8866846b3ed1b0269,SUCCESS,3320870.0
0065.00690,AP complémentaire (Art. R. 512-31),2011-03-16,P/5/bf346bc2d7a246339205b3b035ec9f15,SUCCESS,455424.0
0065.00690,APAUTO fabrication d'emballages pour la stérilisation de matériel médical,2008-01-23,P/4/d5e42267302741598815b4a0a2368174,SUCCESS,2133552.0
0065.00775,Arrêté préfectoral concernant IMMOCBI (exI MMOLOGNES)  (ex SPAGA) daté du 13/08/2014,2014-08-13,P/5/8acb3401483ba7e701483bbaa9470005,SUCCESS,2782679.0
0065.00775,AP d'autorisation,2010-06-08,P/2/a4883795b7bf4d4ab0311861bc3fbce2,SUCCESS,2007325.0
0065.00778,APC mise à jours des prescriptions de l'entrepôt de 700 t dans 51000 m3,2008-10-23,P/4/3674dfd59d544d108be0053a7198e534,SUCCESS,1797693.0
0065.00782,AP complémentaire (Art. R. 512-31),2010-06-16,P/1/5827fd5d25ba41e1a95f2dc4b7ae07b1,SUCCESS,228854.0
0065.00782,AP complémentaire (Art. R. 512-31),2009-04-29,P/e/19831466cfbf4b988d9f1d39f2a729ee,SUCCESS,1098736.0
0065.00800,AP d'autorisation,2010-07-26,P/c/0ddc952d10a84c3b995b0b498423422c,SUCCESS,1684627.0
0065.00803,APC ,2008-04-18,P/d/06476b993a3f4295a596ed492ce1786d,SUCCESS,255160.0
0065.00803,AP complémentaire (art 18 déc. 77),2007-09-05,P/2/b6a7d5180b424220a562f1420cef8102,SUCCESS,2379542.0
0065.00816,Arrêté préfectoral concernant CASSE AUTO CUISY (ex DUCHAUSSOY/SIMONOT) daté du 09/11/2015,2015-11-09,P/2/8acb3401513dcf7301513e34aa010082,SUCCESS,618943.0
0065.00816,Arrêté préfectoral concernant CASSE AUTO CUISY (ex DUCHAUSSOY/SIMONOT) daté du 04/11/2013,2013-11-04,P/f/8acb340142748302014274c58616001f,SUCCESS,541132.0
0065.00816,"APAUTO stockage, dépollution, démontage véhicules hors d'usage",2007-11-29,P/7/681f9ad8ec40484b964f461d785869a7,SUCCESS,2034478.0
0065.00846,Nouveau document,2017-03-22,P/4/8acb34015b152056015b1586ea2f0004,SUCCESS,2915357.0
0065.00936,APAUTO,2008-02-26,P/3/ac49b817f7a144aeb06aeeb960e5c2d3,SUCCESS,2826636.0
0065.00936,Renouvellement + Extension + Refus d'autorisation pour une parcelle,2002-01-28,P/d/978fa39147be4738b821eac97421bb1d,SUCCESS,1620084.0
0065.00943,APC,2010-01-06,P/e/22f832eaccf14bceaa59b1508609546e,SUCCESS,1683025.0
0065.00943,AP complémentaire (art 18 déc. 77),2008-02-20,P/6/17d44be55cd04c61997f6595823cf926,SUCCESS,227795.0
0065.00943,Poursuite de son activité de stockage d'engrais,2006-03-22,P/b/776e60c3ef8c42c0865f114725db535b,SUCCESS,1030414.0
0065.00982,AP complémentaire (Art. R. 512-31),2010-01-06,P/7/1a0a26ecf1b44ecabba6b5e08d7b80d7,SUCCESS,1199519.0
0065.00982,AP complémentaire (art 18 déc. 77),2008-02-20,P/b/7b1d79e1305b42df9755d8274541edeb,SUCCESS,230764.0
0065.00983,Arrêté préfectoral concernant CASSE AUTOS PIECES  daté du 09/11/2015,2015-11-09,P/9/8acb3401513dcf7301513e312bbb0079,SUCCESS,724478.0
0065.00983,Arrêté préfectoral concernant CASSE AUTO PIECES  daté du 12/11/2013,2013-11-12,P/c/8acb34014274830201427498c78b000c,SUCCESS,636252.0
0065.00983,AP complémentaire AGREMENT,2007-03-13,P/3/7ec31959243549e2a0dbeb797bd4c3e3,SUCCESS,537225.0
0065.01011,AP complémentaire (Art. R. 512-31),2010-07-27,P/d/2f8e2aa08b9a40c997e3d7e986c22e7d,SUCCESS,309570.0
0065.01011,APAUTO,2007-05-03,P/b/a783697c0aea46429aaa82838435067b,SUCCESS,3206746.0
0065.01113,Nouveau document,2018-06-04,P/5/8acb340163f917760163f92aeff70005,SUCCESS,586837.0
0065.01113,Nouveau document,2016-11-23,P/b/8acb340158d944ec0158d985f110001b,SUCCESS,4437713.0
0065.01113,Arrêté préfectoral concernant REP (DÃ©charge de Fouju-Moisenay) daté du 13/03/2014,2014-03-13,P/6/003181b653f74f76bdfadb48233874f6,SUCCESS,4200889.0
0065.01113,Arrêté préfectoral concernant REP (DÃ©charge de Fouju-Moisenay) daté du 18/06/2012,2012-06-18,P/1/8acb34013a88c777013a8911d2aa0031,SUCCESS,1966672.0
0065.01113,APC,2009-12-21,P/5/b4592ac6aa3e420d81756d51221eb715,SUCCESS,2969483.0
0065.01113,AP d'autorisation,2007-07-06,P/7/0c03980896b54d5194ad50fa46f31837,SUCCESS,4736359.0
0065.01121,Nouveau document,2017-09-12,P/4/8acb34015f0567d4015f05a5549b0034,SUCCESS,318665.0
0065.01121,Arrêté préfectoral concernant REP (DÃ©charge de Claye Souilly) daté du 29/10/2014,2014-10-29,P/d/8acb3401496138420149614a298f000d,SUCCESS,467386.0
0065.01121,Arrêté préfectoral concernant REP (DÃ©charge de Claye Souilly) daté du 27/06/2014,2014-06-27,P/4/8acb340147018b5d01470195c5d10014,SUCCESS,646661.0
0065.01121,Arrêté préfectoral concernant REP (DÃ©charge de Claye Souilly) daté du 10/07/2013,2013-07-10,P/3/8acb3401400f670301400fd113c70033,SUCCESS,291707.0
0065.01121,APC,2009-12-17,P/a/a9202a9c331c4d4d957342cc7de5bd4a,SUCCESS,3346246.0
0065.01121,APC entreposage provisoire de sous produits valorisables,2009-02-11,P/9/598876d222ef4b2491aee2d3d77f9989,SUCCESS,482073.0
0065.01121,APC,2008-09-26,P/b/c51cb45a58154b079f2fb8985771e9bb,SUCCESS,732304.0
0065.01121,AP d'autorisation,2007-10-31,P/d/cc7316a8e0204dca8231cf0e65ffe16d,SUCCESS,12361593.0
0065.01121,Prescriptions complémentaires pour exploitation installation de valorisation de biogaz,2006-11-08,P/2/73b363fc1f6e4e7aa0f526c699c03042,SUCCESS,788292.0
0065.01121,APC horaire de fonctionnement,2006-03-30,P/3/c56b22879a584e49b2fac87ac83c87a3,SUCCESS,264527.0
0065.01132,Nouveau document,2018-03-05,P/8/8acb34fd76cd7a460176cd8236c30008,SUCCESS,468400.0
0065.01132,Sévérisation prescriptions,2005-07-21,P/6/8acb3401545824a40154584336f50036,SUCCESS,19664071.0
0065.01133,Arrêté préfectoral concernant SICA DE GOUAIX (ex DSM AGRO FRANCE) daté du 23/01/2012,2012-01-23,P/8/8acb34013a97e108013a982e81530018,SUCCESS,120089.0
0065.01133,Report remise de la révision de son étude de dangers,2006-07-19,P/8/76167ba01eb74cc08adf5314f9d43a88,SUCCESS,213608.0
0065.01135,APC RSDE,2013-01-11,P/5/8acb34013d43dbcc013d43e31fda0005,SUCCESS,2651869.0
0065.01151,Arrêté préfectoral concernant IN VIVO (ex SIGMA) daté du 28/05/2014,2014-05-28,P/8/8acb340146609873014660b7a3990018,SUCCESS,208002.0
0065.01151,Arrêté préfectoral concernant IN VIVO (ex SIGMA) daté du 08/07/2013,2013-07-08,P/3/8acb34013fc7eb41013fc8a5d4ea0013,SUCCESS,163456.0
0065.01151,APC,2008-10-06,P/7/2f82f04d917e4ef6952610a943c6c8d7,SUCCESS,363158.0
0065.01151,AP complémentaire (art 18 déc. 77),2008-02-20,P/2/6cea78373d1d4692837a28ac0faa3282,SUCCESS,243925.0
0065.01151,Prescriptions complémentaires pour poursuite exploitation silo,2006-12-13,P/1/aa96c2589d034f509b197cfb4f91de91,SUCCESS,2101474.0
0065.01156,Prescriptions complémentaires relatives aux GF de remise en état de la carrière,1999-05-03,P/2/4cf4ded196944bcea75ec731f8fb3b52,SUCCESS,349824.0
0065.01167,Nouveau document,2020-09-21,P/8/8acb34fd74c4461d0174c469cf800008,SUCCESS,287902.0
0065.01167,Nouveau document,2019-11-18,P/a/8acb34fd73d853360173d87491d9002a,SUCCESS,436161.0
0065.01167,Nouveau document,2018-10-19,P/6/8acb34fd73d853360173d872cf5d0026,SUCCESS,865413.0
0065.01167,Arrêté préfectoral concernant BOREALIS (GPN ) daté du 28/03/2014,2014-03-28,P/4/8acb340145278679014527a2721f0004,SUCCESS,190410.0
0065.01167,Arrêté préfectoral concernant BOREALIS (GPN ) daté du 10/02/2014,2014-02-10,P/5/8acb34014546c23a014546d0cebb0005,SUCCESS,250201.0
0065.01167,Arrêté préfectoral concernant GPN ex GRANDE PAROISSE daté du 26/02/2013,2013-02-26,P/5/8acb34014014ddda0140151feb3f0175,SUCCESS,564811.0
0065.01167,Arrêté préfectoral concernant GPN ex GRANDE PAROISSE daté du 13/02/2012,2012-02-13,P/2/8acb34013a97e108013a983e025b0022,SUCCESS,196128.0
0065.01167,AP complémentaire (Art. R. 512-31),2010-03-22,P/5/7d462fe5e610462ab74e03f87c217525,SUCCESS,11485525.0
0065.01168,AP d'autorisation,2007-08-16,P/1/fb9951766687459fa5b7bf7a9c479ed1,SUCCESS,2536245.0
0065.01169,Nouveau document,2019-12-06,P/7/8acb34fd72cb388b0172cb40d3830007,SUCCESS,670917.0
0065.01169,Nouveau document,2018-09-28,P/6/8acb35836638e9da0166390d1ce00006,SUCCESS,244625.0
0065.01169,Nouveau document,2018-09-28,P/b/8acb3583663409dd016634139137000b,SUCCESS,244625.0
0065.01169,Nouveau document,2017-06-13,P/9/8acb34015d12e916015d12ecde460009,SUCCESS,482230.0
0065.01169,Arrêté préfectoral concernant TOTAL MARKETING SERVICES Raffinerie daté du 05/11/2010,2010-11-05,P/f/8acb3401429387f3014293e68c42001f,SUCCESS,1224597.0
0065.01169,APC + compléments EDD,2007-03-28,P/7/d0c6d02ef3a64988bf1c6c6c035cffd7,SUCCESS,780581.0
0065.01169,Exploitation unité d'hydrotraitement d'essence et poursuite exploitation installations classées,2006-03-22,P/9/35e16fef88fe4007b94784f4cc3e3ea9,SUCCESS,226905.0
0065.01169,Prescriptions complémentaires en matière de pollution atmosphérique,2006-02-07,P/e/74a761d4e0f24f478aff89ea09083c1e,SUCCESS,1481555.0
0065.01186,APC,2014-08-20,P/5/8acb34014835112a0148352d07fb0005,SUCCESS,295568.0
0065.01186,AP complémentaire (Art. R. 512-31),2009-12-21,P/e/c99d94f37a3f4e4690b497016e478fee,SUCCESS,3010039.0
0065.01186,APC -  AP complémentaire (Art. R. 512-31),2009-12-15,P/3/d62e5e56490a4e4da974b1cd36110a93,SUCCESS,2504126.0
0065.01198,AP complémentaire (Art. R. 512-31),2011-03-25,P/5/1cb0aca657694157a933bd2d2793c8c5,SUCCESS,4580631.0
0065.01204,APC,2015-01-06,P/4/8acb34014ac8a592014ac8c0c30c0014,SUCCESS,404409.0
0065.01204,APC - AP complémentaire (Art. R. 512-31),2011-07-11,P/7/b2abcd7bbf1f442cbf56eefc7d3291b7,SUCCESS,311042.0
0065.01204,AP complémentaire (Art. R. 512-31),2009-12-21,P/f/c6b41f506b5e4325aeabc21a12a0165f,SUCCESS,2991044.0
0065.01204,APC - AP complémentaire (Art. R. 512-31),2009-05-15,P/4/77660e1560a4430aaa391f9a48114504,SUCCESS,2491399.0
0065.01208,Nouveau document,2019-07-01,P/f/8acb34fd6bf5b3b8016bf62cc2e5000f,SUCCESS,140430.0
