s3ic_id,rubrique,alinea,regime,activite,date_autorisation,date_mise_en_service,last_substantial_modif_date,state,rubrique_acte,alinea_acte,regime_acte,volume,unit
0065.12777,2910,,NC,Installation de combustion,2009-06-17,2009-06-17,2009-06-17,En fonctionnement,2910,#,NC,1.200,MW
0065.04407,2910,,NC,Installation de combustion,1814-11-23,2010-05-04,,En fonctionnement,2910,#,NC,1938.000,kW
0065.14293,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2006-02-14,2006-02-14,2006-02-14,En fonctionnement,2925,#,D,110.000,kW
0065.12204,2910,A-2,D,Combustion,2015-04-20,,2015-04-20,En fonctionnement,2910,A-2,D,2.354,MW
0065.04858,1414,2-a,A,Installation desservant un dépôt de gaz inflammables liquéfiés soumis à autorisation,2019-03-19,2016-05-04,2019-03-19,En fonctionnement,1414,2-a,A,7.000,
0065.04858,47xx,,NC,,,2019-03-19,2019-03-19,En fonctionnement,47xx,,NC,,
0074.08854,4220,4,D,Produits explosifs (stockage de),2018-07-20,,2018-07-20,En fonctionnement,4220,4,D,2.100,kg
0065.06294,1978,20,D,Fabrication de produits pharmaceutiques,2020-08-05,,2020-08-05,En fonctionnement,1978,20,D,1000.000,t/an
0065.22031,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2018-09-04,2019-11-13,2018-09-04,En fonctionnement,2921,b,D,2000.000,kW
0065.03114,254,A-1-b,unknown,LIQUIDES INFLAMMABLE 1ERE CAT (DEPOT),1964-04-02,1964-04-02,1964-04-02,En fonctionnement,254,A-1-b,unknown,12000.000,L
0065.02812,2518,a,E,Installation de production de béton prêt à l'emploi,2019-04-02,2019-04-02,,En fonctionnement,2518,a,E,5.000,m3
0065.07036,47xx,,NC,,,2016-05-18,2016-05-18,En fonctionnement,47xx,,NC,,
0065.07036,2450,A-a,A,Imprimeries ou reproduction graphique utilisant une forme imprimante,2016-05-18,,2016-05-18,En fonctionnement,2450,1,A,3.000,
0065.08390,4330,2,D,Liquides inflammables de catégorie 1,2017-06-21,,2017-06-21,En fonctionnement,4330,2,D,1.000,t
0065.08390,4331,1,A,Liquides inflammables de catégorie 2 ou catégorie 3,2017-06-21,,2017-06-21,En fonctionnement,4331,1,A,1200.000,t
0074.03939,2910,A-1,E,Combustion,2016-11-29,2007-07-17,2016-11-29,En fonctionnement,2910,A-1,A,32.200,MW
0065.04447,2450,A-b,D,Imprimeries ou reproduction graphique utilisant une forme imprimante,2017-05-16,2017-05-16,2017-05-16,En fonctionnement,2450,2-b,D,166.000,kg/j
0065.17242,4120,,NC,Toxicité aiguë catégorie 2,2016-06-20,2016-06-20,,En fonctionnement,4120,,NC,0.800,t
0065.00230,2450,A-b,D,Imprimeries ou reproduction graphique utilisant une forme imprimante,2015-03-19,2015-03-19,2015-03-19,En fonctionnement,2450,2-b,D,80.000,kg/j
0065.05476,2713,1,E,Métaux et déchets de métaux (transit),2019-11-19,2019-11-19,2019-11-19,En fonctionnement,2713,1,E,3145.000,m2
0065.17242,4511,,NC,Dangereux pour l’environnement aquatique 2,2016-06-20,2016-06-20,,En fonctionnement,4511,,NC,3.760,t
0065.17242,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2016-06-20,2016-06-20,,En fonctionnement,4331,,NC,1.200,t
0065.17242,47xx,,NC,,,2016-06-20,,En fonctionnement,47xx,,NC,,
0065.03328,47xx,,NC,,,,2015-11-03,En fonctionnement,47xx,,NC,,
0065.03328,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2015-11-03,,2015-11-03,En fonctionnement,4331,,NC,8.800,t
0065.05476,2714,1,E,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",2019-11-19,2019-11-19,2019-11-19,En fonctionnement,2714,1,E,1720.000,m3
0065.06146,4330,,NC,Liquides inflammables de catégorie 1,2016-11-08,,,En fonctionnement,4330,,NC,1.000,t
0065.06146,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
0074.03295,1413,1-a,A,Installation de remplissage de gaz naturel - débit > 2000 m3/h,1814-11-23,1999-07-05,1999-01-22,En fonctionnement,1413,1,A,2700.000,m3/h
0065.05086,1434,2,A,Liquides inflammables (remplissage ou distribution) autres que 1435,2016-01-15,2016-01-15,,En fonctionnement,1434,2,A,70.000,
0065.06146,1435,,NC,Stations service,2016-11-08,1814-11-23,1996-10-08,En fonctionnement,1435,#,NC,12.000,m3
0065.03111,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,2013-07-13,2005-07-06,2013-07-13,En fonctionnement,1434,#,NC,2.000,m3/h
0065.03572,1434,1-b,D,Liquides inflammables (remplissage ou distribution) autres que 1435,1814-11-23,2000-03-21,,En fonctionnement,1434,1-b,D,15.000,m3/h
0065.06964,2560,2,D,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",2018-11-20,2018-01-08,2018-11-20,En fonctionnement,2560,2,D,600.000,kW
0065.06964,47xx,,NC,,,2001-07-04,2018-11-20,En fonctionnement,47xx,,NC,,
0065.17507,47xx,,NC,,,,2018-06-14,En fonctionnement,47xx,,NC,,
0065.06964,2713,1,E,Métaux et déchets de métaux (transit),2018-11-20,2001-07-04,2018-11-20,En fonctionnement,2713,1,E,25554.000,m2
0065.05483,2340,1,E,"Blanchisseries, laveries de linge",2016-03-10,,,En fonctionnement,2340,1,E,50.000,t/j
0065.11768,2910,A-2,D,Combustion,1995-09-29,1995-09-29,,En fonctionnement,2910,A-2,D,3.200,MW
0065.03333,2910,A-2,D,Combustion,2009-08-25,2009-08-25,2009-08-25,En fonctionnement,2910,A-2,D,3.600,MW
0065.06780,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
0074.03912,1435,2,D,Stations-service,2016-04-15,,2016-04-15,En fonctionnement,1435,3,D,1500.000,m3
0065.08983,47xx,,NC,,,,2019-06-25,En fonctionnement,47xx,,NC,,
0065.03465,3110,,A,Combustion,2017-03-14,2017-03-14,2017-03-14,En fonctionnement,3110,,A,63.500,MW
0065.03465,3220,,A,Production de fonte ou d’acier,2017-03-14,2017-03-14,2017-03-14,En fonctionnement,3220,,A,109.000,T/H
0065.03465,3532,,A,Valorisation de déchets non dangereux,2017-03-14,2017-03-14,2017-03-14,En fonctionnement,3532,,A,599.000,t/j
0065.03465,3230,a,A,exploitation de laminoirs à chaud,2017-03-14,,2017-03-14,En fonctionnement,3230,a,A,109.000,T/H
0065.03465,4510,,NC,Dangereux pour l’environnement aquatique 1,2017-03-14,2017-03-14,2017-03-14,En fonctionnement,4510,,NC,10.000,t
0065.03465,47xx,,NC,,,2017-03-14,2017-03-14,En fonctionnement,47xx,,NC,,
0065.03572,2410,2,D,"Supérieure à 50 kW, mais inférieure ou égale à 250 kW",1814-11-23,2000-03-21,,En fonctionnement,2410,2,D,150.000,kW
0065.18814,2521,1,E,Centrale d'enrobage à chaud,2016-02-09,2016-02-09,2016-02-09,En fonctionnement,2521,1,A,200.000,
0065.08390,4441,1,A,"Liquides comburants catégorie 1,2 ou 3",2017-06-21,,2017-06-21,En fonctionnement,4441,1,A,70.000,t
0065.04447,2445,1,A,"Transformation du papier, carton",2017-05-16,2017-05-16,2017-05-16,En fonctionnement,2445,1,A,190.000,t/j
0065.04447,47xx,,NC,,,2017-05-16,2017-05-16,En fonctionnement,47xx,,NC,,
0065.04447,4511,,NC,Dangereux pour l’environnement aquatique 2,2017-05-16,2017-05-16,2017-05-16,En fonctionnement,4511,,NC,28.000,t
0065.04447,1630,,NC,Emploi ou stockage de lessives de soude ou de potasse caustique,2017-05-16,2017-05-16,2017-05-16,En fonctionnement,1630,,NC,10.600,t
0065.04447,2564,,NC,"Nettoyage, dégraissage, décapage de surfaces utilisant des liquides organohalogénés ou des solvants organiques",2017-05-16,2017-05-16,2017-05-16,En fonctionnement,2564,,NC,60.000,
0065.13231,3532,,A,Valorisation de déchets non dangereux,2017-05-12,,,En fonctionnement,3532,,A,450.000,t/j
0065.13231,3510,,A,Traitement de déchets dangereux,2017-05-12,,,En fonctionnement,3510,,A,22.000,t/j
0065.13231,3550,,A,stockage temporaire de déchets,2017-05-12,,,En fonctionnement,3550,,A,625.000,t
0065.13231,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
0065.09350,2791,1,A,Déchets non dangereux (traitement),2020-06-12,,,En fonctionnement,2791,1,A,1750.000,t/j
0065.06294,47xx,,NC,,,2015-07-31,2020-08-05,En fonctionnement,47xx,,NC,,
0065.08390,4442,1,A,Gaz comburants catégorie 1,2017-06-21,,2017-06-21,En fonctionnement,4442,1,A,70.000,t
0065.08390,4510,1,A,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,2017-06-21,,2017-06-21,En fonctionnement,4510,1,A,160.000,t
0065.08390,47xx,,NC,,,,2017-06-21,En fonctionnement,47xx,,NC,,
0065.08390,4511,,NC,Dangereux pour l’environnement aquatique 2,2017-06-21,,2017-06-21,En fonctionnement,4511,,NC,95.000,t
0065.08390,47xx,,NC,,,,2017-06-21,En fonctionnement,47xx,,NC,,
0065.04396,2663,2-a,E,Stockage de pneumatiques,2020-01-15,2019-03-12,2020-01-15,En fonctionnement,2663,2-b,E,10368.000,m3
0065.04396,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2020-01-15,2011-07-27,2020-01-15,En fonctionnement,2925,#,D,49.860,kW
0065.06146,2910,A-2,D,Combustion,2016-11-08,1814-11-23,1996-10-08,En fonctionnement,2910,A-2,D,3.000,MW
0065.08390,47xx,,NC,,,,2017-06-21,En fonctionnement,47xx,,NC,,
0065.04396,1510,2-b,E,Entrepot enregistré,2020-01-15,2011-07-27,2020-01-15,En fonctionnement,1510,2,E,198800.000,m3
0065.06146,3520,a,A,pour les déchets non dangereux,2016-11-08,,,En fonctionnement,3520,a,A,24.000,T/H
0065.08390,4321,,NC,Aérosols extrêmement inflammables ou inflammables,2017-06-21,,2017-06-21,En fonctionnement,4321,,NC,300.000,t
0065.08390,4320,1,A,Aérosols extrêmement inflammables ou inflammables de catégorie 1 ou 2,2017-06-21,,2017-06-21,En fonctionnement,4320,1,A,285.000,t
0065.08390,4120,1-a,A,Toxicité aiguë catégorie 2,2017-06-21,,2017-06-21,En fonctionnement,4120,1-a,A,98.000,t
0065.08390,4130,1-a,A,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,2017-06-21,,2017-06-21,En fonctionnement,4130,1-a,A,98.000,t
0065.08390,4140,1-a,A,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,2017-06-21,,2017-06-21,En fonctionnement,4140,1-a,A,98.000,t
0065.18814,1435,,NC,Stations service,2016-02-09,2016-02-09,2016-02-09,En fonctionnement,1435,,NC,32.000,m3
0065.04447,2910,A-2,D,Combustion,2017-05-16,2017-05-16,2017-05-16,En fonctionnement,2910,A-2,D,6.190,MW
0065.03241,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2016-03-30,2014-09-02,2016-03-30,En fonctionnement,2921,b,D,700.000,kW
0065.03241,4511,,NC,Dangereux pour l’environnement aquatique 2,2016-03-30,2004-09-07,2016-03-30,En fonctionnement,4511,,NC,40.000,t
0065.22592,1185,2-a,D,Quantité susceptible d'être présente,2020-04-27,,,En fonctionnement,1185,2-a,D,2928.000,kg
0065.08390,1450,1,A,Solides inflammables,2017-06-21,2017-06-21,2017-06-21,En fonctionnement,1450,1,A,1245.000,t
0065.05988,2910,A-2,D,Combustion,2020-09-21,2020-09-21,2020-09-21,En fonctionnement,2910,A-2,D,1.400,MW
0065.04373,2910,,NC,Installation de combustion,2013-12-26,,2013-12-26,En fonctionnement,2910,,NC,22.000,
0074.06275,1432,,NC,Liquides inflammables (stockage),2010-10-28,,2010-10-28,En fonctionnement,1432,#,NC,3.140,m3
0074.06275,1435,,NC,Stations service,2010-10-28,,2010-10-28,En fonctionnement,1435,#,NC,18.000,m3/h
0065.20975,2910,A-2,D,Combustion,2017-07-27,2017-07-27,2017-07-27,En fonctionnement,2910,A-2,D,8.000,MW
0065.09350,2714,1,E,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",2020-06-12,,,En fonctionnement,2714,1,E,1136.000,m3
0065.22046,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2018-10-12,,,En fonctionnement,2925,#,D,9.000,kW
0065.22046,2930,2,NC,Ateliers de réparation et entretien de véhicules à moteur,2018-10-12,,,En fonctionnement,2930,2,NC,9.000,kg/j
0065.03371,2910,A-2,D,Combustion,2016-06-03,1994-05-02,2016-06-03,En fonctionnement,2910,A-2,D,17.200,MW
0065.03800,2340,1,E,"Blanchisseries, laveries de linge",2017-09-01,2003-01-27,2017-09-01,En fonctionnement,2340,1,A,80.000,t/j
0065.01202,2910,A-2,D,Combustion,2019-09-11,,2019-09-11,En fonctionnement,2910,A-2,D,2.600,MW
0065.03972,1433,B-b,D,LIQUIDES INFLAMMABLES (MELANGE OU EMPLOI),2014-08-11,,2018-10-01,En fonctionnement,1433,B-b,D,9.000,t
0065.03972,1611,1,A,"ACIDE ACETIQUE, CHLORHYDRIQUE, FORMIQUE,ETC (EMPLOI OU STOCKAGE)",2014-08-11,2010-08-17,2018-10-01,En fonctionnement,1611,1,A,320.000,t
0065.03972,2921,a,E,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,2014-08-11,,2018-10-01,En fonctionnement,2921,a,E,83498.000,kW
0065.07390,1411,#,NC,Gazomètres et réservoirs de gaz comprimés inflammables,2019-06-07,2011-04-13,2019-06-07,En fonctionnement,1411,#,NC,464.000,kg
0065.07390,1432,,NC,Liquides inflammables (stockage),2019-06-07,2011-04-13,2019-06-07,En fonctionnement,1432,#,NC,1.800,m3
0074.06275,2920,2-b,D,Réfrigération ou compression (installation de) pression >10E5 Pa,2010-10-28,,2010-10-28,En fonctionnement,2920,2-b,D,84.320,kW
0065.06294,3450,,A,Fabrication de produits pharmaceutiques,2020-08-05,,2020-08-05,En fonctionnement,3450,,A,45.820,
0065.06294,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2020-08-05,2004-12-13,2020-08-05,En fonctionnement,2921,1-b,D,1850.000,kW
0065.04942,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2016-07-11,2013-06-03,2016-07-11,En fonctionnement,2925,#,D,120.000,kW
0065.06294,3410,f,A,hydrocarbures halogénés,2020-08-05,,2020-08-05,En fonctionnement,3410,f,A,0.000,
0065.06294,1434,2,A,Liquides inflammables (remplissage ou distribution) autres que 1435,2020-08-05,1992-11-27,2020-08-05,En fonctionnement,1434,2,A,0.000,
0065.06294,4441,2,D,"Liquides comburants catégorie 1,2 ou 3",2020-08-05,2015-07-31,2020-08-05,En fonctionnement,4441,2,D,15.000,t
0065.06294,4331,2,E,Liquides inflammables de catégorie 2 ou catégorie 3,2020-08-05,2015-07-31,2020-08-05,En fonctionnement,4331,2,E,330.000,t
0065.06294,47xx,,NC,,,2015-07-31,2020-08-05,En fonctionnement,47xx,,NC,,
0065.06294,4110,1-a,A,Toxicité aiguë catégorie 1,2020-08-05,2015-07-31,2020-08-05,En fonctionnement,4110,1-a,A,1.000,t
0065.06294,3410,c,A,hydrocarbures sulfurés,2020-08-05,1992-11-27,2020-08-05,En fonctionnement,2620,#,A,5.000,t
0065.06294,1450,1,A,Solides inflammables,2020-08-05,1992-11-27,2020-08-05,En fonctionnement,1450,1,A,5.000,t
0065.06941,47xx,,NC,,,1999-10-29,2017-04-06,En fonctionnement,47xx,,NC,,
0065.06294,3410,c,A,hydrocarbures sulfurés,2020-08-05,,2020-08-05,En fonctionnement,3410,c,A,0.000,
0065.06294,4630,2,D,Substances ou mélanges auxquels est attribuée la mention de danger EUH029,2020-08-05,2015-07-31,2020-08-05,En fonctionnement,4630,2,D,10.000,t
0065.06564,2515,1-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2015-09-17,,2015-09-17,En fonctionnement,2515,1-c,D,152.000,kW
0065.06379,2220,2-a,E,Supérieure à 10 t/j ,1814-11-23,1997-10-30,,En fonctionnement,2253,1,A,200000.000,L/j
0065.02627,4510,1,A,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,2016-06-30,2010-06-21,2016-06-30,En fonctionnement,4510,1,A,2568.000,t
0065.02627,4511,1,A,Dangereux pour l'environnement aquatique de catégorie chronique 2,2016-06-30,2010-06-21,2016-06-30,En fonctionnement,4511,1,A,632.000,t
0065.17193,2760,2-b,A,Autres installations que celles mentionnées au a,2014-01-23,,2014-01-23,En fonctionnement,2760,2,A,330000.000,
0065.02627,4331,2,E,Liquides inflammables de catégorie 2 ou catégorie 3,2016-06-30,2002-04-25,2016-06-30,En fonctionnement,4331,2,E,281.000,t
0065.02627,4320,1,A,Aérosols extrêmement inflammables ou inflammables de catégorie 1 ou 2,2016-06-30,2006-04-25,2016-06-30,En fonctionnement,4320,1,A,832.000,t
0065.02627,47xx,,NC,,,,2016-06-30,En fonctionnement,47xx,,NC,,
0065.04644,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2016-07-05,,2016-07-05,En fonctionnement,4331,,NC,28.500,t
0065.03111,1432,,NC,Liquides inflammables (stockage),2013-07-13,2005-07-06,2013-07-13,En fonctionnement,1432,#,NC,6.000,m3
0065.06329,1434,1-a,A,Liquides inflammables (remplissage ou distribution) autres que 1435,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,1434,1-a,A,100.000,m3/h
0065.06329,4140,2-b,D,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4140,2-b,D,9.000,t
0065.06329,4441,,NC,"Liquides comburants catégorie 1, 2 ou 3.",2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4441,,NC,1.950,t
0065.04644,2450,A-a,A,Imprimeries ou reproduction graphique utilisant une forme imprimante,2016-07-05,,2016-07-05,En fonctionnement,2450,2-a,A,2480.000,kg/j
0074.02231,2450,A-a,A,Imprimeries ou reproduction graphique utilisant une forme imprimante,1814-11-23,2004-06-16,,En fonctionnement,2450,2-a,A,577.000,kg/j
0065.03803,1435,,NC,Stations service,2019-04-10,1994-03-07,2019-04-10,En fonctionnement,1435,,NC,30.000,m3
0065.03803,47xx,,NC,,,1994-03-07,2019-04-10,En fonctionnement,47xx,,NC,,
0065.04942,4320,,NC,Aérosols extrêmement inflammables ou inflammables,2016-07-11,2016-07-11,2016-07-11,En fonctionnement,4320,,NC,5.000,t
0065.04942,47xx,,NC,,,2016-07-11,2016-07-11,En fonctionnement,47xx,,NC,,
0065.03803,2517,2,D,Produits minéraux ou déchets non dangereux inertes (transit),2019-04-10,,2019-04-10,En fonctionnement,2517,2,D,9000.000,m2
0065.03803,2640,b,D,"Supérieure ou égale à 200 kg/j, mais inférieure à 2 t/j",2019-04-10,,2019-04-10,En fonctionnement,2640,b,D,200.000,kg/j
0065.06329,47xx,,NC,,,1999-12-15,2020-06-05,En fonctionnement,47xx,,NC,,
0065.06329,4130,1-b,D,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4130,1-b,D,5.000,t
0065.06329,4150,2,D,Toxicité spécifique pour certains organes cibles (STOT),2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4150,2,D,5.000,t
0065.06329,4511,1,A,Dangereux pour l'environnement aquatique de catégorie chronique 2,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4511,1,A,259.000,t
0065.06329,1185,2-a,D,Quantité susceptible d'être présente,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,1185,2-a,D,0.000,L
0065.06329,4331,1,A,Liquides inflammables de catégorie 2 ou catégorie 3,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4331,1,A,1303.000,t
0065.06329,4130,2-a,A,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4130,2-a,A,40.000,t
0065.06329,4510,2,D,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,2020-06-05,1999-12-15,2020-06-05,En fonctionnement,4510,2,D,25.000,t
0065.06329,47xx,,NC,,,1999-12-15,2020-06-05,En fonctionnement,47xx,,NC,,
0065.14380,2910,A-2,D,Combustion,2017-11-07,2017-11-07,2017-11-07,En fonctionnement,2910,A-2,D,3.000,MW
0065.11820,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2017-03-06,2007-03-22,2017-03-06,En fonctionnement,2925,#,D,140.000,kW
0065.21682,2220,2-a,E,Supérieure à 10 t/j ,2019-07-10,,,En fonctionnement,2220,2-a,E,17.150,t/j
0065.03371,2175,,D,Dépôts d'engrais liquides,2016-06-03,2014-08-18,2016-06-03,En fonctionnement,2175,#,NC,60.000,
0074.10041,47xx,,NC,,,,2016-09-15,En fonctionnement,47xx,,NC,,
0065.00846,2910,A-1,E,Combustion,2019-10-01,1998-11-03,2019-10-01,En fonctionnement,2910,A-1,E,29.294,MW
0065.05094,4510,2,D,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,2020-09-14,2017-06-13,2020-09-14,En fonctionnement,4510,2,D,54.900,t
0065.05094,3410,k,A,	tensioactifs et agents de surface,2020-09-14,2014-08-13,2020-09-14,En fonctionnement,3410,k,A,0.000,
0065.01477,1434,2,A,Liquides inflammables (remplissage ou distribution) autres que 1435,1989-03-29,1989-03-29,2012-06-29,En fonctionnement,1434,2,A,0.000,
0065.05094,3410,d,A,hydrocarbures azotés,2020-09-14,2014-08-13,2020-09-14,En fonctionnement,3410,d,A,0.000,
0065.05094,4441,2,D,"Liquides comburants catégorie 1,2 ou 3",2020-09-14,2017-06-13,2020-09-14,En fonctionnement,4441,2,D,9.990,t
0065.05094,4630,2,D,Substances ou mélanges auxquels est attribuée la mention de danger EUH029,2020-09-14,2017-06-13,2020-09-14,En fonctionnement,4630,2,D,29.900,t
0065.05094,3410,b,A,hydrocarbures oxygénés,2020-09-14,2014-08-13,2020-09-14,En fonctionnement,3410,b,A,0.000,
0065.05094,4140,3-b,D,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,2020-09-14,,2020-09-14,En fonctionnement,4140,3-b,D,1.990,kg
0065.05094,4511,2,D,Dangereux pour l'environnement aquatique de catégorie chronique 2,2020-09-14,2017-06-13,2020-09-14,En fonctionnement,4511,2,D,119.900,t
0065.06947,1434,1-b,D,Liquides inflammables (remplissage ou distribution) autres que 1435,2010-09-13,,2010-09-13,En fonctionnement,1434,1-b,D,3.000,m3/h
