,Unnamed: 0,s3ic_id,rubrique,alinea,regime,activite,date_autorisation,date_mise_en_service,last_substantial_modif_date,state,rubrique_acte,alinea_acte,regime_acte,volume,unit
253,1133,0540.00265,2111,1,E,Elevages de plus de 30 000 volailles,2017-04-01,,2017-04-01,En fonctionnement,2111,2,E,38900.000,u
262,1160,0052.05965,1414,3,D,Gaz inflammables liquéfiés (remplissage ou distribution),2002-01-22,2002-01-22,2014-06-23,En fonctionnement,1414,3,D,7300.000,L
266,1172,0052.06216,2662,,NC,Stockage de polymères,2003-01-16,2003-01-16,,En fonctionnement,2662,#,NC,100.000,m3
293,1287,0052.08746,1530,,NC,"Dépôts de papiers, cartons ou analogues",2009-11-09,2009-11-09,2009-11-09,En fonctionnement,1530,#,NC,80.000,m3
317,1396,0052.01743,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2014-11-07,2014-11-07,2014-11-07,En fonctionnement,2921,b,D,2698.000,kW
319,1414,0052.03138,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,2007-08-10,2007-08-10,,En fonctionnement,1434,#,NC,0.000,
338,1484,0052.06216,3610,c,A,panneaux,2003-01-16,2003-01-16,,En fonctionnement,2410,1,A,270.000,kW
340,1539,0052.02111,2910,A-2,D,Combustion,1993-02-09,,1993-02-09,En fonctionnement,153,A-2,D,0.000,MW
341,1540,0052.02111,1412,2-a,A,Gaz inflammables liquéfiés (stockage),1993-02-09,,1993-02-09,En fonctionnement,211,B-1,NC,0.000,
342,1541,0052.02111,2260,1-b,D,Supérieure à 100 kW mais inférieure ou égale à 500 kW,1993-02-09,,1993-02-09,En fonctionnement,89,2,D,0.000,kW
350,1576,0052.01789,1432,,NC,Liquides inflammables (stockage),1995-09-13,1995-09-13,,En fonctionnement,1432,#,NC,0.000,
351,1578,0052.06216,2661,,NC,Transformation de polymères,2003-01-16,2003-01-16,,En fonctionnement,2661,#,NC,0.500,t/j
352,1580,0052.06216,1432,,NC,Liquides inflammables (stockage),2003-01-16,2003-01-16,,En fonctionnement,1432,#,NC,1.000,m3
353,1582,0052.03138,1432,,NC,Liquides inflammables (stockage),2007-08-10,2007-08-10,,En fonctionnement,1432,#,NC,0.400,m3
358,1606,0060.04147,2718,1,A,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),2013-08-05,,,En fonctionnement,2718,1,A,12.000,t
370,1641,0060.00385,2640,b,D,"Supérieure ou égale à 200 kg/j, mais inférieure à 2 t/j",2009-08-14,2009-08-14,2012-02-10,En fonctionnement,2640,2-b,D,1.800,t/j
394,1803,0072.02777,2415,1,A,Mise en oeuvre de produits de préservation du bois et dérivés,2002-10-11,2002-10-11,2002-10-11,En fonctionnement,2415,1,A,10000.000,L
410,1855,0072.09987,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2013-12-27,,2013-12-27,En fonctionnement,2102,2-a,E,644.000,u éq.
417,1895,0571.00135,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2011-08-23,,2011-08-23,En fonctionnement,3660,a,A,474840.000,u
431,1960,0052.02535,47xx,,NC,,,2018-12-03,2016-01-08,En fonctionnement,47xx,,NC,,
436,1977,0052.01455,1435,2,D,Stations-service,2020-12-14,2010-01-11,2014-05-15,En fonctionnement,1435,3,D,550.000,m3
439,1983,0571.00036,2210,1,A,Abattoirs fixes de capacité > à 5 t/j,2018-01-11,,2018-01-11,En fonctionnement,2210,1,A,18.000,t/j
441,1992,0052.01455,3532,,A,Valorisation de déchets non dangereux,2020-12-14,,2014-05-15,En fonctionnement,3532,,A,96.000,t/j
442,1996,0052.01455,47xx,,NC,,,2010-01-11,2014-05-15,En fonctionnement,47xx,,NC,,
443,1999,0052.01455,2710,1-b,D,collecte de déchets dangereux-DC,2020-12-14,2014-05-15,2014-05-15,En fonctionnement,2710,1-b,D,168.500,t
444,2001,0052.01455,2710,2-b,D,collecte de déchets non dangereux-DC,2020-12-14,,,En fonctionnement,2710,2-b,D,168.500,m3
453,2018,0054.01066,2663,,NC,Stockage de pneumatiques,2010-02-18,2010-02-18,,En fonctionnement,2663,#,NC,50.000,m3
462,2068,0072.04027,2552,1,A,Fonderie (fabrication de produits moulés) métaux et alliages non ferreux,2016-11-10,2014-06-30,2016-11-10,En fonctionnement,2552,1,A,100.000,t/j
466,2098,0052.01455,2760,2-b,A,Autres installations que celles mentionnées au a,2020-12-14,2012-01-01,2014-05-15,En fonctionnement,2760,2-b,A,32760.000,t
481,2157,0054.01390,1510,2-c,D,Entrepot déclaré,2018-08-06,,2018-08-06,En fonctionnement,1510,3,D,0.000,m3
488,2182,0072.08618,2712,1,E,"Stockage, dépollution, démontage,… de VHU",2014-08-25,2014-08-25,,En fonctionnement,2712,1,E,4600.000,m2
491,2192,0054.01066,1510,2-c,D,Entrepot déclaré,2010-02-18,2010-02-18,1998-06-12,En fonctionnement,1510,2,D,14000.000,m3
492,2194,0571.00135,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2011-08-23,,2011-08-23,En fonctionnement,2111,1,A,474840.000,
513,2263,0072.08221,2520,#,A,"Fabrication de ciments, chaux, plâtres",2016-05-12,,2016-05-12,En fonctionnement,2520,#,A,3500.000,t/j
537,2315,0072.01778,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,1814-11-23,2003-11-17,,En fonctionnement,1434,#,NC,0.900,m3/h
552,2373,0586.01002,3660,a,A,avec plus de 40 000 emplacements pour les volailles,2015-02-10,2015-02-10,,En fonctionnement,3660,a,A,82000.000,u
590,2571,0031.00099,2517,2,D,Produits minéraux ou déchets non dangereux inertes (transit),2016-10-27,2015-12-24,2015-12-24,En fonctionnement,2517,3,D,10500.000,m2
593,2668,0571.00135,1530,2,D,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",2011-08-23,,2011-08-23,En fonctionnement,1530,3,D,1100.000,m3
609,2817,0052.04867,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,2002-10-11,2002-10-11,,En fonctionnement,1434,#,NC,1.500,m3/h
611,2823,0072.02975,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,2009-05-11,2009-05-11,2009-05-11,En fonctionnement,1434,#,NC,0.240,m3/h
618,2853,0054.01066,1220,#,NC,Oxygène (emploi et stockage),2010-02-18,2010-02-18,,En fonctionnement,1220,#,NC,15.000,kg
622,2867,0054.01066,1530,,NC,"Dépôts de papiers, cartons ou analogues",2010-02-18,2010-02-18,,En fonctionnement,1530,#,NC,700.000,m3
636,2917,0054.01219,1520,2,D,"Houille, coke,etc (dépôt)",2015-04-13,2007-11-14,2007-11-14,En fonctionnement,1520,2,D,220.000,t
639,2941,0054.01219,2521,1,E,Centrale d'enrobage à chaud,2015-04-13,2007-11-14,2007-11-14,En fonctionnement,2521,1,A,10.000,
660,3040,0072.04027,2575,,D,Emploi de matières abrasives,2016-11-10,2014-06-30,2016-11-10,En fonctionnement,2575,#,D,186.000,kW
676,3090,0072.08221,2515,1-a,E,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2016-05-12,,2016-05-12,En fonctionnement,2515,1-a,A,6000.000,kW
678,3096,0052.04867,3610,c,A,panneaux,2002-10-11,2002-10-11,,En fonctionnement,2410,1,A,795.000,kW
682,3105,0052.08197,2220,2-b,D,"Supérieure à 2 t/j, mais inférieure ou égale à 10 t/j",1814-11-23,1814-11-23,,En fonctionnement,2220,2,D,2.300,t/j
694,3146,0072.04027,2560,1,E,Supérieure à 1 000 kW,2016-11-10,2014-06-30,2016-11-10,En fonctionnement,2560,B-1,E,2762.000,kW
709,3199,0054.01066,1432,2-b,D,Liquides inflammables (stockage),2010-02-18,2010-02-18,,En fonctionnement,1432,2-b,D,15.000,m3
720,3260,0052.11959,2710,2-a,E,collecte de déchets non dangereux-E,2015-02-16,,2015-02-16,En fonctionnement,2710,2-b,E,413.000,m3
740,3344,0072.04027,1185,2-a,D,Quantité susceptible d'être présente,2016-11-10,2016-11-10,2016-11-10,En fonctionnement,4802,2-a,D,590.695,kg
768,3524,0052.05965,1435,,NC,Stations service,2015-03-24,2002-01-22,,En fonctionnement,1435,#,NC,75.000,m3
772,3547,0060.04471,2760,3,E,Installation de stockage de déchets inertes,2018-06-19,2013-04-05,2018-06-19,En fonctionnement,2760,3,E,9000.000,
818,3711,0052.09114,4421,2,D,Peroxydes organiques type C ou type D,2017-12-18,2017-12-18,,En fonctionnement,4421,2,D,800.000,kg
836,3766,0072.05558,47xx,,NC,,,,2016-05-12,En fonctionnement,47xx,,NC,,
849,3806,0052.06810,4510,2,D,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,1814-11-23,2008-09-01,,En fonctionnement,1172,3,D,21.000,t
876,3872,0031.05616,2712,1,E,"Stockage, dépollution, démontage,… de VHU",2020-11-03,,,En fonctionnement,2712,1,E,6530.000,m2
929,4051,0072.01327,2940,1-a,E,"Vernis, peinture, colle, ... (application, cuisson, séchage)",2018-03-08,2007-03-22,2007-03-22,En fonctionnement,2940,1-a,A,21200.000,L
931,4056,0052.01653,2940,2-a,E,"Vernis, peinture, colle, ... (application, cuisson, séchage)",2017-10-17,1993-04-08,,En fonctionnement,2940,2-a,A,350.000,kg/j
933,4060,0072.01327,2940,2-b,D,"Vernis, peinture, colle, ... (application, cuisson, séchage)",2018-03-08,2007-03-22,2007-03-22,En fonctionnement,2940,2-b,D,20.000,kg/j
937,4089,0052.09114,2410,1,E,Supérieur à 250 kW,2017-12-18,2017-12-18,,En fonctionnement,2410,B-1,E,346.000,kW
949,4254,0072.01912,2515,1-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1997-04-07,1997-04-07,1997-04-07,En fonctionnement,2515,2,D,0.000,kW
966,4325,0052.09114,2910,A-2,D,Combustion,2017-12-18,2012-09-06,2012-09-06,En fonctionnement,2910,A-2,D,6.100,MW
967,4335,0052.07882,2712,1,E,"Stockage, dépollution, démontage,… de VHU",2019-05-07,2011-03-15,2011-03-15,En fonctionnement,2712,1,E,9050.000,m2
972,4359,0052.03228,2510,1,A,Carrières (exploitation de),2008-05-21,2008-05-21,2008-05-21,En fonctionnement,2510,1,A,350000.000,t/an
1004,4577,0072.04027,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2016-11-10,2014-06-30,2016-11-10,En fonctionnement,2925,#,D,70.750,kW
1010,4607,0586.00139,1530,2,D,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",2018-10-09,2018-10-09,,En fonctionnement,1530,3,D,3000.000,m3
1015,4633,0052.08197,1530,2,D,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",1814-11-23,1814-11-23,,En fonctionnement,1530,2,D,12500.000,m3
1024,4664,0072.01859,1532,2-b,D,Stockage bois déclaré,2019-03-21,2015-02-17,2015-02-17,En fonctionnement,1532,3,D,9800.000,m3
1031,4710,0052.06612,2710,,NC,Collecte de déchets apportés par le producteur initial,2003-11-28,2003-11-28,,En fonctionnement,2710,#,NC,49.000,m3
1069,4886,0052.01095,2716,2,D,déchets non dangereux non inertes (transit),2010-08-26,2011-06-07,2010-08-26,En fonctionnement,2716,2,D,0.000,m3
1070,4896,0052.05965,47xx,,NC,,,2002-01-22,2014-06-23,En fonctionnement,47xx,,NC,,
1071,4898,0052.05965,2251,A,A,"Vins (préparation, conditionnement)",2015-03-24,2002-01-22,2014-06-23,En fonctionnement,2251,A,A,800000.000,hL/an
1072,4899,0052.05965,2663,2-b,D,Stockage de pneumatiques,2015-03-24,,,En fonctionnement,2663,2-c,D,2054.000,m3
1077,4922,0052.09187,2910,A,NC,Combustion,2011-04-05,2011-04-05,2011-04-05,En fonctionnement,2910,A,NC,0.440,MW
1079,4951,0052.02283,3642,2-a,A,Production d'aliments à partir de matières premières végétales - capacité > 300 t/j,1994-12-19,,1994-12-19,En fonctionnement,2220,1,A,1450.000,t/j
1080,4952,0052.02283,2920,2-b,D,Réfrigération ou compression (installation de) pression >10E5 Pa,1994-12-19,,,En fonctionnement,2920,2-b,D,360.000,kW
1081,4987,0052.05929,2910,A-2,D,Combustion,2004-10-08,,,En fonctionnement,2910,A-2,D,2.690,MW
1097,5119,0072.01778,1173,#,NC,DANGEREUX POUR L'ENVIRONNEMENT - TOXIQUES (STOCKAGE ET EMPLOI),1814-11-23,2011-07-27,,En fonctionnement,1173,#,NC,0.000,
1105,5161,0052.09556,2712,1,E,"Stockage, dépollution, démontage,… de VHU",2002-06-27,2002-06-27,2002-06-27,En fonctionnement,286,#,A,12400.000,m2
1113,5191,0072.10813,1435,2,D,Stations-service,2014-02-21,,2014-02-21,En fonctionnement,1435,3,D,2163.000,m3
1118,5251,0072.01327,2663,2-b,D,Stockage de pneumatiques,2018-03-08,2007-03-22,2007-03-22,En fonctionnement,2663,2-c,D,1170.000,m3
1129,5304,0052.06810,2415,1,A,Mise en oeuvre de produits de préservation du bois et dérivés,1814-11-23,1814-11-23,,En fonctionnement,2415,1,A,9000.000,L
1144,5355,0052.00672,1510,2-b,E,Entrepot enregistré,2020-01-08,1814-11-23,,En fonctionnement,1510,2,E,61135.000,m3
1155,5397,0059.01151,2711,,NC,"Transit, regroupement ou tri de déchets d’équipements électriques et électroniques",2011-12-23,2011-12-23,2011-12-23,En fonctionnement,2711,#,NC,0.000,
1156,5398,0059.01151,1220,#,NC,Oxygène (emploi et stockage),2011-12-23,2011-12-23,2011-12-23,En fonctionnement,1220,#,NC,0.000,
1157,5399,0059.01151,1412,#,NC,Gaz inflammables liquéfiés (stockage),2011-12-23,2011-12-23,2011-12-23,En fonctionnement,1412,#,NC,0.000,
1158,5400,0059.01151,2910,A,NC,Combustion,2011-12-23,2011-12-23,2011-12-23,En fonctionnement,2910,A,NC,0.000,
1159,5401,0059.01151,2663,,NC,Stockage de pneumatiques,2011-12-23,2011-12-23,2011-12-23,En fonctionnement,2663,#,NC,0.000,
1160,5402,0059.01151,1530,,NC,"Dépôts de papiers, cartons ou analogues",2011-12-23,2011-12-23,2011-12-23,En fonctionnement,1530,#,NC,0.000,
1182,5507,0522.00085,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,2019-12-11,,,En fonctionnement,2102,1,E,1990.000,animaux-équivalents
1216,5675,0052.06810,2160,,NC,"Silos et stockage de céréales, grains…",1814-11-23,2008-09-01,,En fonctionnement,2160,#,NC,1597.000,m3
1244,5762,0524.01497,2731,2,A,Dépôt ou transit de sous-produits animaux,1996-03-19,,1996-03-19,En fonctionnement,2731,#,A,50000.000,kg
1252,5797,0052.06810,1530,2,D,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",1814-11-23,2008-09-01,,En fonctionnement,1530,2,D,8500.000,m3
1265,5873,0052.06810,1412,#,NC,Gaz inflammables liquéfiés (stockage),1814-11-23,2008-09-01,,En fonctionnement,1412,#,NC,0.800,t
1272,5898,0052.06810,2663,,NC,Stockage de pneumatiques,1814-11-23,2008-09-01,,En fonctionnement,2663,#,NC,100.000,m3
1289,5979,0072.07259,1532,2-b,D,Stockage bois déclaré,2015-11-12,,,En fonctionnement,1532,3,D,12600.000,m3
1290,5981,0052.05929,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2015-06-16,2015-06-16,2015-06-16,En fonctionnement,2921,b,D,1407.000,kW
1311,6039,0587.01399,1532,2-b,D,Stockage bois déclaré,2014-12-19,,,En fonctionnement,1532,3,D,6400.000,m3
1316,6089,0587.01399,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2014-12-19,,,En fonctionnement,2921,b,D,1941.600,kW
1325,6116,0055.18571,2925,1,D,Charge d'accumulateurs dégageant de l'hydrogène,2020-10-07,2016-10-06,2019-03-06,En fonctionnement,2925,1,D,7200.000,kW
1326,6135,0055.18571,1630,2,D,Soude ou potasse caustique,2020-10-07,,2019-03-06,En fonctionnement,1630,2,D,105.000,t
1328,6153,0055.18571,47xx,,NC,,,,2020-01-22,En fonctionnement,47xx,,NC,,
1332,6160,0052.06810,3610,c,A,panneaux,1814-11-23,2008-09-01,1964-12-30,En fonctionnement,2410,1,A,2150.000,kW
1333,6165,0055.18571,47xx,,NC,,,,,En fonctionnement,47xx,,NC,,
1347,6214,0055.00228,2515,1-a,E,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1814-11-23,2002-07-01,,En fonctionnement,2515,1,A,1000.000,kW
1348,6228,0072.01778,1331,#,NC,"ENGRAIS SIMPLES SOLIDES...BASE NITRATES ,ENGRAIS COMPOSES(STOCKAGE)",1814-11-23,2011-07-27,,En fonctionnement,1331,#,NC,1240.000,t
1350,6252,0055.18571,2663,2-a,E,Stockage de pneumatiques,2020-10-07,,2019-03-06,En fonctionnement,2663,2-a,A,180990.000,m3
1352,6268,0072.02984,3240,,A,Exploitation de fonderies de métaux ferreux,2014-09-26,,,En fonctionnement,3240,,A,55.000,t/j
1354,6285,0072.02830,2450,A-b,D,Imprimeries ou reproduction graphique utilisant une forme imprimante,1999-08-04,1999-08-04,,En fonctionnement,2450,2-b,D,200.000,kg/j
1355,6286,0072.02786,2662,2,D,Stockage de polymères D,1999-05-12,,1999-05-12,En fonctionnement,2662,2-b,D,0.000,m3
1367,6357,0586.00274,3660,b,A,avec plus de 2 000 emplacements pour les porcs de production (de plus de 30 kg),2014-02-17,,2014-02-17,En fonctionnement,3660,b,A,2860.000,u
1379,6398,0072.01778,1331,#,NC,"ENGRAIS SIMPLES SOLIDES...BASE NITRATES ,ENGRAIS COMPOSES(STOCKAGE)",1814-11-23,2006-09-27,,En fonctionnement,1331,#,NC,0.000,t
1383,6417,0052.06063,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2011-12-30,2005-05-18,2011-12-30,En fonctionnement,2921,b,D,1563.000,kW
1388,6447,0055.18571,1510,2-a,A,Entrepot autorisé,2020-10-07,,2019-03-06,En fonctionnement,1510,1,A,610421.000,m3
1396,6501,0052.06810,1434,1-b,D,Liquides inflammables (remplissage ou distribution) autres que 1435,1814-11-23,2008-09-01,,En fonctionnement,1434,1-b,D,1.200,m3/h
1399,6520,0055.18571,2662,1,E,Stockage de polymères enregistré,2020-10-07,,2019-03-06,En fonctionnement,2662,1,A,180990.000,m3
1434,6717,0586.00184,3660,b,A,avec plus de 2 000 emplacements pour les porcs de production (de plus de 30 kg),2010-02-26,,,En fonctionnement,2102,1,A,6364.000,u éq.
1455,6877,0060.02211,1432,,NC,Liquides inflammables (stockage),2012-01-02,2012-01-02,2012-01-02,En fonctionnement,1432,#,NC,8.000,
1463,6905,0072.02768,3670,1,A,Traitement de surfaces de matières avec plus de 150 kg/h de solvants organiques,2014-06-05,,,En fonctionnement,3670,,A,201.000,t/an
1467,6920,0072.11470,2160,2-a,A,Silos autres que plats autorisés,2015-10-09,,2015-10-09,En fonctionnement,2160,2-a,A,84940.000,m3
1477,6976,0072.06214,2921,b,D,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2014-04-29,2005-12-22,2014-04-29,En fonctionnement,2921,b,D,411.000,kW
1478,6994,0516.00550,2102,1,E,Elevage de porcs de plus de 450 animaux-équivalents,1986-12-02,2014-10-03,1986-12-02,En fonctionnement,2102,2-a,E,742.000,u éq.
1490,7036,0072.08122,3550,,A,stockage temporaire de déchets,2013-10-30,,,En fonctionnement,3550,,A,51.000,t
1502,7084,0055.14908,2415,1,A,Mise en oeuvre de produits de préservation du bois et dérivés,2009-03-30,2009-03-30,2009-03-30,En fonctionnement,2415,1,A,21900.000,L
1521,7196,0072.04324,2910,A-2,D,Combustion,1999-12-28,1999-12-28,,En fonctionnement,2910,A-2,D,4.000,MW
1525,7213,0072.02975,1432,,NC,Liquides inflammables (stockage),2009-05-11,2009-05-11,2009-05-11,En fonctionnement,1432,#,NC,977.000,L
1526,7214,0072.01778,1432,,NC,Liquides inflammables (stockage),1814-11-23,2003-11-17,,En fonctionnement,1432,#,NC,10.000,m3
1565,7442,0054.01075,1185,2,NC,,2020-06-10,2011-07-12,,En fonctionnement,1185,2,NC,116.000,kg
1566,7444,0054.01075,1435,2,D,Stations-service,2020-06-10,2011-07-12,,En fonctionnement,1435,2.,D,139.000,m3
1567,7446,0054.01075,1436,,NC,Liquides combustibles,2020-06-10,2020-06-10,,En fonctionnement,1436,,NC,3.100,t
1568,7447,0054.01075,1532,1,A,Bois ou analogues (dépôt de) dégageant poussières inflammables,2020-06-10,2011-07-12,,En fonctionnement,1532,1,A,75444.000,m3
1569,7448,0054.01075,2160,2,NC,Silos autres que plats,2020-06-10,2011-07-12,2007-11-07,En fonctionnement,2160,,NC,1435.000,m3
1571,7462,0054.01075,2663,,NC,Stockage de pneumatiques,2020-06-10,2011-07-12,2007-11-07,En fonctionnement,2663,#,NC,5.000,m3
1572,7463,0054.01075,2260,1-a,E,Supérieure à 500 kW,2020-06-10,2011-07-12,2011-07-12,En fonctionnement,2260,a,A,8256.000,kW
1573,7465,0054.01075,2910,A-2,D,Combustion,2020-06-10,2011-07-12,2011-07-12,En fonctionnement,2910,A-2,D,3.000,MW
1574,7466,0054.01075,2910,B-1,E,Combustion,2020-06-10,2011-07-12,,En fonctionnement,2910,B-1,A,25.000,MW
1575,7467,0054.01075,2925,,NC,Charge d'accumulateurs,2020-06-10,2011-07-12,2007-11-07,En fonctionnement,2925,#,D,34.800,kW
1576,7473,0054.01075,2940,2-a,E,"Vernis, peinture, colle, ... (application, cuisson, séchage)",2020-06-10,2011-07-12,2011-07-12,En fonctionnement,2940,2-a,A,52500.000,kg/j
1622,7638,0072.03749,2255,2,A,"Alcools de bouche,eaux-de-vie,liqueurs(stockage)",1814-11-23,2009-07-09,2009-07-09,En fonctionnement,2255,2,A,1050.000,m3
1625,7644,0054.01075,47xx,,NC,,,2011-07-12,2007-11-07,En fonctionnement,47xx,,NC,,
1627,7650,0054.01075,4331,,NC,Liquides inflammables de catégorie 2 ou catégorie 3,2020-06-10,2011-07-12,2007-11-07,En fonctionnement,4331,,NC,0.200,t
1628,7652,0054.01075,3610,,NC,"Fabrication de pâte à papier, papier, carton, panneaux de bois",2020-06-10,2011-07-12,,En fonctionnement,3610,,NC,514.000,M3/J
1663,7769,0054.01075,2915,1-a,E,Chauffage (procédé de) fluide caloporteur organique combustible,2020-06-10,2011-07-12,2011-07-12,En fonctionnement,2915,1-a,A,70000.000,L
1664,7775,0571.00397,1136,B-b,A,AMMONIAC (EMPLOI OU STOCKAGE),2014-03-17,,,En fonctionnement,1136,B-c,D,0.500,t
1674,7849,0033.00808,47xx,,NC,,,,1965-12-13,En fonctionnement,47xx,,NC,,
1693,8011,0054.01318,2661,1-c,D,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",2017-06-06,2003-09-05,2003-09-05,En fonctionnement,2661,1-c,D,1.300,t/j
1694,8012,0054.01318,1450,2,D,Solides inflammables,2017-06-06,2003-09-05,2003-09-05,En fonctionnement,1450,2,D,0.750,kg
1699,8057,0033.01339,47xx,,NC,,,,1965-03-06,En fonctionnement,47xx,,NC,,
1723,8210,0059.01151,47xx,,NC,,,2017-01-02,2017-02-07,En fonctionnement,47xx,,NC,,
1765,8432,0571.00397,2210,1,A,Abattoirs fixes de capacité > à 5 t/j,2014-03-17,,,En fonctionnement,2210,1,A,40.000,t/j
1776,8511,0033.01267,47xx,,NC,,,,1966-05-02,En fonctionnement,47xx,,NC,,
1779,8536,0539.00131,2101,1-a,A,"Bovins (élevage, vente, transit,  etc)",2012-07-25,,2012-07-25,En fonctionnement,2101,1-a,A,884.000,u
1782,8600,0570.00938,2220,2-a,E,Supérieure à 10 t/j ,2009-11-20,,2009-11-20,En fonctionnement,2220,B-2-a,E,11.300,t/j
1792,8644,0059.00332,2415,1,A,Mise en oeuvre de produits de préservation du bois et dérivés,1988-02-12,1998-02-12,1988-02-12,En fonctionnement,2415,1,A,53000.000,L
1794,8646,0059.00332,2791,1,A,Déchets non dangereux (traitement),1988-02-12,1998-02-12,1988-02-12,En fonctionnement,2791,1,A,70.000,t/j
1797,8655,0059.00233,1434,,NC,Installations de remplissage ou de distribution de liquides inflammables,1990-07-05,1990-07-05,,En fonctionnement,1434,#,NC,0.600,m3/h
1798,8665,0571.00397,2221,1,E,Supérieure à 4t/j,2014-03-17,,,En fonctionnement,2221,B-1,E,14.000,t/j
1816,8760,0059.02367,2521,1,E,Centrale d'enrobage à chaud,1990-03-29,1990-03-29,1990-03-29,En fonctionnement,2521,1,A,180.000,T/H
1830,8918,0059.00332,2560,2,D,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",1988-02-12,1814-11-23,1988-02-12,En fonctionnement,2560,2,D,59.000,kW
1831,8921,0059.02367,2515,1-b,D,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1990-03-29,1814-11-23,1990-03-29,En fonctionnement,2515,2,D,0.000,kW
1833,8940,0054.00508,2510,1,A,Carrières (exploitation de),2015-01-13,1973-12-05,2015-01-13,En fonctionnement,2510,1,A,400000.000,t
1842,8963,0054.00508,2515,1-a,E,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",2015-01-13,1997-10-13,2015-01-13,En fonctionnement,2515,1,A,1836.000,kW
1843,8980,0054.01318,2910,A-2,D,Combustion,2017-06-06,2003-09-05,2003-09-05,En fonctionnement,2910,A-2,D,3.544,MW
